Date,Time,SET,Value,2D,Modern,Internet
2023-03-31,16:30:00,"1,609.17","43,168.03",78,0,0
2023-04-04,11:00:00,"1,596.77","22,831.58",71,0,0
2023-04-04,12:01:00,"1,596.77","22,831.58",71,0,0
2023-04-04,15:00:00,"1,594.05","41,628.88",58,0,0
2023-04-04,16:30:00,"1,594.05","41,628.88",58,0,0
2023-04-05,11:00:00,"1,583.33","26,123.73",33,0,0
2023-04-05,12:01:00,"1,583.33","26,123.73",33,0,0
2023-04-05,15:00:00,"1,571.13","48,873.95",33,0,0
2023-04-05,16:30:00,"1,571.13","48,873.95",33,0,0
2023-04-07,11:00:00,"1,580.49","20,200.46",90,0,0
2023-04-07,12:01:00,"1,580.49","20,200.46",90,0,0
2023-04-07,15:00:00,"1,577.07","34,001.19",71,0,0
2023-04-07,16:30:00,"1,577.07","34,001.19",71,0,0
2023-04-10,11:00:00,"1,589.03","18,611.23",31,0,0
2023-04-10,12:01:00,"1,589.03","18,611.23",31,0,0
2023-04-10,15:00:00,"1,593.13","36,411.84",31,0,0
2023-04-10,16:30:00,"1,593.13","36,411.84",31,0,0
2023-04-11,11:00:00,"1,593.16","19,262.29",62,0,0
2023-04-11,12:01:00,"1,593.16","19,262.29",62,0,0
2023-04-11,15:00:00,"1,597.10","36,038.63",18,0,0
2023-04-11,16:30:00,"1,597.10","36,038.63",18,0,0
2023-04-12,11:00:00,"1,587.20","22,606.57",26,0,0
2023-04-12,12:01:00,"1,587.20","22,606.57",26,0,0
2023-04-12,15:00:00,"1,592.67","44,756.11",76,0,0
2023-04-12,16:30:00,"1,592.67","44,756.11",76,0,0
2023-04-17,11:00:00,"1,600.15","27,623.81",53,0,0
2023-04-17,12:01:00,"1,600.15","27,623.81",53,0,0
2023-04-17,15:00:00,"1,600.41","46,726.22",16,0,0
2023-04-17,16:30:00,"1,600.41","46,726.22",16,0,0
2023-04-18,11:00:00,"1,595.17","22,134.84",74,0,0
2023-04-18,12:01:00,"1,595.17","22,134.84",74,0,0
2023-04-18,15:00:00,"1,593.85","39,891.84",51,0,0
2023-04-18,16:30:00,"1,593.85","39,891.84",51,0,0
2023-04-19,11:00:00,"1,588.17","28,526.29",76,0,0
2023-04-19,12:01:00,"1,588.17","28,526.29",76,0,0
2023-04-19,15:00:00,"1,580.73","55,197.94",37,0,0
2023-04-19,16:30:00,"1,580.73","55,197.94",37,0,0
2023-04-20,11:00:00,"1,572.99","28,651.15",91,0,0
2023-04-20,12:01:00,"1,572.99","28,651.15",91,0,0
2023-04-20,15:00:00,"1,565.10","57,260.07",10,0,0
2023-04-20,16:30:00,"1,565.10","57,260.07",10,0,0
2023-04-21,11:00:00,"1,560.00","30,841.55",1,0,0
2023-04-21,12:01:00,"1,560.00","30,841.55",1,0,0
2023-04-21,15:00:00,"1,558.36","57,649.47",69,0,0
2023-04-21,16:30:00,"1,558.36","57,649.47",69,0,0
2023-04-24,11:00:00,"1,558.12","19,333.98",23,0,0
2023-04-24,12:01:00,"1,558.12","19,333.98",23,0,0
2023-04-24,15:00:00,"1,557.87","35,491.29",71,0,0
2023-04-24,16:30:00,"1,557.87","35,491.29",71,0,0
2023-04-25,11:00:00,"1,549.00","22,549.36",99,0,0
2023-04-25,12:01:00,"1,549.00","22,549.36",99,0,0
2023-04-25,15:00:00,"1,540.20","46,215.92",25,0,0
2023-04-25,16:30:00,"1,540.20","46,215.92",25,0,0
2023-04-26,11:00:00,"1,545.71","22,014.94",14,0,0
2023-04-26,12:01:00,"1,545.71","22,014.94",14,0,0
2023-04-26,15:00:00,"1,543.95","42,479.54",59,0,0
2023-04-26,16:30:00,"1,543.95","42,479.54",59,0,0
2023-04-27,11:00:00,"1,533.03","22,625.93",35,0,0
2023-04-27,12:01:00,"1,533.03","22,625.93",35,0,0
2023-04-27,15:00:00,"1,531.23","43,638.05",38,0,0
2023-04-27,16:30:00,"1,531.23","43,638.05",38,0,0
2023-04-28,11:00:00,"1,533.12","19,613.72",23,0,0
2023-04-28,12:01:00,"1,533.12","19,613.72",23,0,0
2023-04-28,15:00:00,"1,529.12","45,043.38",23,0,0
2023-04-28,16:30:00,"1,529.12","45,043.38",23,0,0
2023-05-02,11:00:00,"1,523.66","19,517.49",67,0,0
2023-05-02,12:01:00,"1,523.66","19,517.49",67,0,0
2023-05-02,15:00:00,"1,528.43","39,979.71",39,0,0
2023-05-02,16:30:00,"1,528.43","39,979.71",39,0,0
2023-05-03,11:00:00,"1,519.97","31,868.26",78,0,0
2023-05-03,12:01:00,"1,519.97","31,868.26",78,0,0
2023-05-03,15:00:00,"1,533.30","54,974.69",34,0,0
2023-05-03,16:30:00,"1,533.30","54,974.69",34,0,0
2023-05-08,11:00:00,"1,549.31","21,797.44",17,0,0
2023-05-08,12:01:00,"1,549.31","21,797.44",17,0,0
2023-05-08,15:00:00,"1,562.25","54,641.71",51,0,0
2023-05-08,16:30:00,"1,562.25","54,641.71",51,0,0
2023-05-09,11:00:00,"1,565.50","29,282.94",52,0,0
2023-05-09,12:01:00,"1,565.50","29,282.94",52,0,0
2023-05-09,15:00:00,"1,564.66","52,794.94",64,0,0
2023-05-09,16:30:00,"1,564.66","52,794.94",64,0,0
2023-05-10,11:00:00,"1,569.65","26,032.50",52,0,0
2023-05-10,12:01:00,"1,569.65","26,032.50",52,0,0
2023-05-10,15:00:00,"1,569.56","49,967.39",67,0,0
2023-05-10,16:30:00,"1,569.56","49,967.39",67,0,0
2023-05-11,11:00:00,"1,567.70","28,721.44",71,0,0
2023-05-11,12:01:00,"1,567.70","28,721.44",71,0,0
2023-05-11,15:00:00,"1,567.40","52,780.29",40,0,0
2023-05-11,16:30:00,"1,567.40","52,780.29",40,0,0
2023-05-12,11:00:00,"1,552.27","29,657.98",77,0,0
2023-05-12,12:01:00,"1,552.27","29,657.98",77,0,0
2023-05-12,15:00:00,"1,561.35","57,109.23",59,0,0
2023-05-12,16:30:00,"1,561.35","57,109.23",59,0,0
2023-05-15,11:00:00,"1,549.98","38,526.91",86,0,0
2023-05-15,12:01:00,"1,549.98","38,526.91",86,0,0
2023-05-15,15:00:00,"1,541.38","68,382.81",82,0,0
2023-05-15,16:30:00,"1,541.38","68,382.81",82,0,0
2023-05-16,11:00:00,"1,541.31","28,983.63",13,0,0
2023-05-16,12:01:00,"1,541.31","28,983.63",13,0,0
2023-05-16,15:00:00,"1,539.84","53,185.45",45,0,0
2023-05-16,16:30:00,"1,539.84","53,185.45",45,0,0
2023-05-17,11:00:00,"1,521.19","29,462.82",92,0,0
2023-05-17,12:01:00,"1,521.19","29,462.82",92,0,0
2023-05-17,15:00:00,"1,522.74","57,401.27",41,0,0
2023-05-17,16:30:00,"1,522.74","57,401.27",41,0,0
2023-05-18,11:00:00,"1,539.70","28,201.68",71,0,0
2023-05-18,12:01:00,"1,539.70","28,201.68",71,0,0
2023-05-18,15:00:00,"1,526.69","54,749.78",99,0,0
2023-05-18,16:30:00,"1,526.69","54,749.78",99,0,0
2023-05-19,11:00:00,"1,520.99","24,032.34",92,0,0
2023-05-19,12:01:00,"1,520.99","24,032.34",92,0,0
2023-05-19,15:00:00,"1,514.89","47,318.45",98,0,0
2023-05-19,16:30:00,"1,514.89","47,318.45",98,0,0
2023-05-22,11:00:00,"1,517.37","31,554.28",74,0,0
2023-05-22,12:01:00,"1,517.37","31,554.28",74,0,0
2023-05-22,15:00:00,"1,529.24","55,532.65",42,0,0
2023-05-22,16:30:00,"1,529.24","55,532.65",42,0,0
2023-05-23,11:00:00,"1,523.39","25,375.22",95,0,0
2023-05-23,12:01:00,"1,523.39","25,375.22",95,0,0
2023-05-23,15:00:00,"1,534.84","49,772.13",42,0,0
2023-05-23,16:30:00,"1,534.84","49,772.13",42,0,0
2023-05-24,11:00:00,"1,539.81","21,903.42",13,0,0
2023-05-24,12:01:00,"1,539.81","21,903.42",13,0,0
2023-05-24,15:00:00,"1,536.51","44,657.53",17,0,0
2023-05-24,16:30:00,"1,536.51","44,657.53",17,0,0
2023-05-25,11:00:00,"1,535.84","27,384.60",44,0,0
2023-05-25,12:01:00,"1,535.84","27,384.60",44,0,0
2023-05-25,15:00:00,"1,535.42","48,513.80",23,0,0
2023-05-25,16:30:00,"1,535.42","48,513.80",23,0,0
2023-05-26,11:00:00,"1,529.67","20,993.26",73,0,0
2023-05-26,12:01:00,"1,529.67","20,993.26",73,0,0
2023-05-26,15:00:00,"1,530.84","38,787.30",47,0,0
2023-05-26,16:30:00,"1,530.84","38,787.30",47,0,0
2023-05-29,11:00:00,"1,539.07","19,371.94",71,0,0
2023-05-29,12:01:00,"1,539.07","19,371.94",71,0,0
2023-05-29,15:00:00,"1,540.97","37,756.87",76,0,0
2023-05-29,16:30:00,"1,540.97","37,756.87",76,0,0
2023-05-30,11:00:00,"1,536.51","21,712.93",12,0,0
2023-05-30,12:01:00,"1,536.51","21,712.93",12,0,0
2023-05-30,15:00:00,"1,534.81","46,658.70",18,0,0
2023-05-30,16:30:00,"1,534.81","46,658.70",18,0,0
2023-05-31,11:00:00,"1,522.29","22,799.75",99,0,0
2023-05-31,12:01:00,"1,522.29","22,799.75",99,0,0
